source,target
19,7
7,18
18,1
18,2
18,10
10,6
1,21
14,2
18,23
18,9
18,11
17,9
17,11
12,7
12,17
12,15
12,20
20,5
5,13
15,5
17,8
0,3
0,16
22,3
3,13
