source,target
0,3
0,16
1,21
3,13
5,13
7,18
10,6
12,7
12,17
12,15
12,20
14,2
15,5
17,9
17,11
17,8
18,1
18,2
18,10
18,23
18,9
18,11
19,7
19,17
20,5
22,3
